"date","location","location_type","location_code","location_code_type","data_type","value"
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",72
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",0
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",0
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",0
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",0
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-02-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",0
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_tested",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_confirmed",1
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","new_hosp",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_hosp",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_icu",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_vent",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_recovered",NA
2020-02-25,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_death",NA
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",178
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",1
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",1
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",0
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",0
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-02-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",0
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_tested",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_confirmed",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","new_hosp",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_hosp",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_icu",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_vent",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_recovered",NA
2020-02-26,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_death",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_tested",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_confirmed",1
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","new_hosp",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_hosp",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_icu",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_vent",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_recovered",NA
2020-02-27,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_death",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","total_tested",3
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","total_confirmed",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","new_hosp",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","current_hosp",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","current_icu",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","current_vent",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","total_recovered",NA
2020-02-27,"FL","Principality of Liechtenstein",NA,"gn_a1_code","total_death",NA
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",326
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",1
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",1
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",0
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",0
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-02-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",0
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_tested",NA
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_confirmed",1
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","new_hosp",NA
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_hosp",1
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_icu",0
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_vent",NA
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_recovered",NA
2020-02-27,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_death",0
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_tested",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_confirmed",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","new_hosp",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_hosp",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_icu",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_vent",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_recovered",NA
2020-02-27,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_death",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","total_tested",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","total_confirmed",2
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","new_hosp",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","current_hosp",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","current_icu",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","current_vent",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","total_recovered",NA
2020-02-27,"ZH","Canton of Switzerland","CH.ZH","gn_a1_code","total_death",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","total_tested",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","total_confirmed",1
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","new_hosp",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","current_hosp",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","current_icu",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","current_vent",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","total_recovered",NA
2020-02-28,"AG","Canton of Switzerland","CH.AG","gn_a1_code","total_death",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","total_tested",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","total_confirmed",1
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","new_hosp",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","current_hosp",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","current_icu",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","current_vent",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","total_recovered",NA
2020-02-28,"BE","Canton of Switzerland","CH.BE","gn_a1_code","total_death",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","total_tested",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","total_confirmed",1
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","new_hosp",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","current_hosp",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","current_icu",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","current_vent",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","total_recovered",NA
2020-02-28,"BL","Canton of Switzerland","CH.BL","gn_a1_code","total_death",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_tested",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_confirmed",1
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","new_hosp",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_hosp",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_icu",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","current_vent",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_recovered",NA
2020-02-28,"BS","Canton of Switzerland","CH.BS","gn_a1_code","total_death",NA
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",534
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",4
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",2
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",0
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",0
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-02-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",0
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_tested",NA
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_confirmed",1
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","new_hosp",NA
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_hosp",1
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_icu",0
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","current_vent",NA
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_recovered",NA
2020-02-28,"JU","Canton of Switzerland","CH.JU","gn_a1_code","total_death",0
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_tested",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_confirmed",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","new_hosp",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_hosp",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_icu",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","current_vent",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_recovered",NA
2020-02-28,"TI","Canton of Switzerland","CH.TI","gn_a1_code","total_death",NA
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","total_tested",NA
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","total_confirmed",NA
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","new_hosp",NA
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","current_hosp",4
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","current_icu",NA
2020-02-28,"VD","Canton of Switzerland","CH.VD","gn_a1_code","current_vent",NA
